[['Hjelpe gamle damer over veien', 18], ['Gi en klem', 14], ['Narrestreker', 2], ['Gi en gave', 6]]
[['Gi en klem', 8], ['Hjelpe noen', 3], ['Dytte gamle damer ut i veien', 1], ['Lure noen', 14]]
[['Gi en klem', 11], ['Ta siste rest av kaffe uten å lage mer', 5], ['Hjelpe gamle damer over veien', 6], ['Spilt nickelback', 18]]
[['Narrestreker', 13], ['Tatt med guitar på fest', 10], ['Gi en klem', 11], ['Lure noen', 3]]
[['Lure noen', 1], ['Tatt med guitar på fest', 5], ['Gi en gave', 18], ['Narrestreker', 18]]
[['Gi en gave', 1], ['Lure noen', 16], ['Dytte gamle damer ut i veien', 19], ['Narrestreker', 15]]
[['Narrestreker', 13], ['Lure noen', 10], ['Gi en gave', 18], ['Dytte gamle damer ut i veien', 19]]
[['Hjelpe gamle damer over veien', 7], ['Hjelpe noen', 7], ['Narrestreker', 10], ['Gi en klem', 5]]
[['Dytte gamle damer ut i veien', 14], ['Gi en gave', 13], ['Lure noen', 3], ['Narrestreker', 19]]
[['Hjelpe noen', 3], ['Gi en klem', 9], ['Dytte gamle damer ut i veien', 5], ['Gi en gave', 6]]
[['Tatt med guitar på fest', 13], ['Mord', 16], ['Gi en gave', 15], ['Narrestreker', 9]]
[['Spilt nickelback', 18], ['Hjelpe noen', 12], ['Gi en klem', 13], ['Gi en gave', 11]]
[['Lure noen', 3], ['Hjelpe noen', 16], ['Dytte gamle damer ut i veien', 8], ['Tatt med guitar på fest', 7]]
[['Redde ett liv', 13], ['Hjelpe gamle damer over veien', 2], ['Hjelpe noen', 2], ['Gi en klem', 16]]
[['Hjelpe gamle damer over veien', 10], ['Gi en gave', 12], ['Gi en klem', 5], ['Lure noen', 5]]
[['Narrestreker', 6], ['Hjelpe gamle damer over veien', 2], ['Ta siste rest av kaffe uten å lage mer', 19], ['Tatt med guitar på fest', 6]]
[['Lure noen', 6], ['Gi en klem', 17], ['Narrestreker', 12], ['Dytte gamle damer ut i veien', 11]]
[['Narrestreker', 18], ['Gi en klem', 11], ['Hjelpe noen', 7], ['Gi en gave', 11]]
[['Hjelpe gamle damer over veien', 14], ['Gi en klem', 1], ['Hjelpe noen', 16], ['Narrestreker', 11]]
[['Hjelpe gamle damer over veien', 9], ['Gi en gave', 16], ['Gi en klem', 17], ['Hjelpe noen', 9]]
[['Gi en gave', 9], ['Redde ett liv', 5], ['Lure noen', 3], ['Hjelpe noen', 3]]
[['Ta siste rest av kaffe uten å lage mer', 16], ['Tatt med guitar på fest', 18], ['Hjelpe gamle damer over veien', 4], ['Gi en gave', 16]]
[['Hjelpe gamle damer over veien', 10], ['Hjelpe noen', 5], ['Dytte gamle damer ut i veien', 5], ['Gi en gave', 4]]
[['Narrestreker', 5], ['Gi en klem', 6], ['Lure noen', 7], ['Hjelpe noen', 14]]
[['Spilt nickelback', 14], ['Dytte gamle damer ut i veien', 18], ['Hjelpe noen', 7], ['Hjelpe gamle damer over veien', 1]]
[['Narrestreker', 2], ['Ta siste rest av kaffe uten å lage mer', 15], ['Gi en gave', 14], ['Hjelpe noen', 19]]
[['Lure noen', 12], ['Dytte gamle damer ut i veien', 12], ['Hjelpe gamle damer over veien', 5], ['Ta siste rest av kaffe uten å lage mer', 14]]
[['Narrestreker', 16], ['Hjelpe noen', 9], ['Gi en gave', 12], ['Gi en klem', 17]]
[['Hjelpe gamle damer over veien', 10], ['Narrestreker', 3], ['Gi en gave', 11], ['Gi en klem', 13]]
[['Gi en gave', 14], ['Hjelpe noen', 2], ['Gi en klem', 14], ['Narrestreker', 1]]
[['Gi en klem', 10], ['Gi en gave', 17], ['Narrestreker', 18], ['Dytte gamle damer ut i veien', 12]]
[['Hjelpe noen', 3], ['Dytte gamle damer ut i veien', 7], ['Ta siste rest av kaffe uten å lage mer', 10], ['Gi en klem', 7]]
[['Narrestreker', 14], ['Tatt med guitar på fest', 3], ['Gi en gave', 16], ['Hjelpe noen', 2]]
[['Lure noen', 14], ['Narrestreker', 19], ['Gi en klem', 19], ['Hjelpe noen', 11]]
[['Hjelpe noen', 3], ['Hjelpe gamle damer over veien', 11], ['Gi en gave', 2], ['Narrestreker', 12]]
[['Lure noen', 17], ['Hjelpe noen', 10], ['Gi en gave', 10], ['Ta siste rest av kaffe uten å lage mer', 2]]
[['Hjelpe noen', 10], ['Hjelpe gamle damer over veien', 12], ['Dytte gamle damer ut i veien', 8], ['Gi en gave', 7]]
[['Hjelpe gamle damer over veien', 3], ['Hjelpe noen', 18], ['Gi en gave', 15], ['Narrestreker', 3]]
[['Narrestreker', 16], ['Dytte gamle damer ut i veien', 16], ['Hjelpe noen', 16], ['Gi en gave', 14]]
[['Hjelpe noen', 2], ['Gi en gave', 3], ['Gi en klem', 10], ['Dytte gamle damer ut i veien', 18]]
[['Gi en klem', 3], ['Gi en gave', 18], ['Narrestreker', 19], ['Ta siste rest av kaffe uten å lage mer', 9]]
[['Hjelpe noen', 6], ['Narrestreker', 1], ['Hjelpe gamle damer over veien', 11], ['Gi en gave', 1]]
[['Dytte gamle damer ut i veien', 18], ['Lure noen', 2], ['Hjelpe noen', 17], ['Mord', 1]]
[['Hjelpe noen', 6], ['Dytte gamle damer ut i veien', 5], ['Hjelpe gamle damer over veien', 6], ['Gi en klem', 1]]
[['Gi en gave', 13], ['Gi en klem', 4], ['Ta siste rest av kaffe uten å lage mer', 12], ['Hjelpe noen', 12]]
[['Gi en gave', 11], ['Dytte gamle damer ut i veien', 16], ['Hjelpe noen', 15], ['Gi en klem', 2]]
[['Hjelpe gamle damer over veien', 16], ['Hjelpe noen', 13], ['Lure noen', 5], ['Gi en klem', 8]]
[['Gi en gave', 5], ['Dytte gamle damer ut i veien', 16], ['Narrestreker', 19], ['Hjelpe noen', 10]]
[['Gi en klem', 12], ['Hjelpe gamle damer over veien', 4], ['Dytte gamle damer ut i veien', 9], ['Mord', 15]]
[['Gi en gave', 15], ['Ta siste rest av kaffe uten å lage mer', 12], ['Hjelpe noen', 15], ['Narrestreker', 2]]
[['Hjelpe gamle damer over veien', 6], ['Gi en gave', 7], ['Tatt med guitar på fest', 3], ['Hjelpe noen', 13]]
[['Gi en klem', 8], ['Narrestreker', 2], ['Hjelpe noen', 14], ['Gi en gave', 6]]
[['Narrestreker', 17], ['Ta siste rest av kaffe uten å lage mer', 11], ['Lure noen', 12], ['Gi en gave', 6]]
[['Tatt med guitar på fest', 12], ['Hjelpe noen', 6], ['Dytte gamle damer ut i veien', 3], ['Gi en klem', 14]]
[['Gi en gave', 2], ['Hjelpe noen', 1], ['Dytte gamle damer ut i veien', 1], ['Gi en klem', 4]]
[['Lure noen', 13], ['Gi en klem', 15], ['Narrestreker', 18], ['Gi en gave', 17]]
[['Hjelpe noen', 15], ['Hjelpe gamle damer over veien', 7], ['Dytte gamle damer ut i veien', 1], ['Redde ett liv', 16]]
[['Ta siste rest av kaffe uten å lage mer', 1], ['Tatt med guitar på fest', 7], ['Narrestreker', 17], ['Lure noen', 17]]
[['Hjelpe noen', 19], ['Gi en gave', 1], ['Gi en klem', 7], ['Hjelpe gamle damer over veien', 13]]
[['Gi en gave', 5], ['Hjelpe noen', 8], ['Mord', 9], ['Hjelpe gamle damer over veien', 14]]
[['Hjelpe noen', 4], ['Narrestreker', 3], ['Gi en gave', 14], ['Hjelpe gamle damer over veien', 6]]
[['Gi en gave', 12], ['Hjelpe noen', 2], ['Dytte gamle damer ut i veien', 12], ['Hjelpe gamle damer over veien', 16]]
[['Hjelpe gamle damer over veien', 13], ['Gi en gave', 8], ['Narrestreker', 1], ['Ta siste rest av kaffe uten å lage mer', 10]]
[['Gi en klem', 19], ['Tatt med guitar på fest', 3], ['Lure noen', 2], ['Hjelpe noen', 18]]
[['Dytte gamle damer ut i veien', 5], ['Hjelpe gamle damer over veien', 4], ['Gi en gave', 13], ['Narrestreker', 9]]
[['Narrestreker', 13], ['Hjelpe noen', 15], ['Hjelpe gamle damer over veien', 12], ['Lure noen', 9]]
[['Gi en klem', 18], ['Dytte gamle damer ut i veien', 8], ['Hjelpe noen', 9], ['Gi en gave', 2]]
[['Gi en klem', 3], ['Lure noen', 8], ['Hjelpe gamle damer over veien', 12], ['Gi en gave', 14]]
[['Hjelpe gamle damer over veien', 19], ['Hjelpe noen', 18], ['Dytte gamle damer ut i veien', 8], ['Gi en gave', 11]]
[['Gi en gave', 18], ['Gi en klem', 8], ['Dytte gamle damer ut i veien', 18], ['Narrestreker', 14]]
[['Gi en klem', 1], ['Redde ett liv', 12], ['Gi en gave', 9], ['Narrestreker', 17]]
[['Dytte gamle damer ut i veien', 4], ['Gi en klem', 1], ['Hjelpe gamle damer over veien', 10], ['Hjelpe noen', 2]]
[['Hjelpe noen', 13], ['Lure noen', 12], ['Hjelpe gamle damer over veien', 2], ['Gi en gave', 9]]
[['Gi en gave', 12], ['Hjelpe noen', 10], ['Hjelpe gamle damer over veien', 16], ['Dytte gamle damer ut i veien', 9]]
[['Gi en gave', 3], ['Hjelpe noen', 12], ['Gi en klem', 2], ['Ta siste rest av kaffe uten å lage mer', 13]]
[['Ta siste rest av kaffe uten å lage mer', 5], ['Gi en gave', 8], ['Lure noen', 4], ['Tatt med guitar på fest', 5]]
[['Hjelpe gamle damer over veien', 5], ['Gi en klem', 11], ['Hjelpe noen', 7], ['Dytte gamle damer ut i veien', 2]]
[['Hjelpe gamle damer over veien', 8], ['Gi en klem', 8], ['Ta siste rest av kaffe uten å lage mer', 17], ['Gi en gave', 2]]
[['Gi en klem', 2], ['Narrestreker', 4], ['Lure noen', 3], ['Hjelpe gamle damer over veien', 14]]
